"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Mouser Part Number"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37","37","100 nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","80-C0805C104M5R"
"CN1","1","~","","","","Connector_PinHeader_2.54mm:PinHeader_2x16_P2.54mm_Horizontal","","538-90122-0128"
"JP1,JP2,JP4","3","SolderJumper_2_Bridged","","Excluded from BOM","","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","~","~"
"JP3","1","SolderJumper_2_Open","","Excluded from BOM","","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","~"
"RN1","1","10K","","","","Resistor_THT:R_Array_SIP5","http://www.vishay.com/docs/31509/csc.pdf","652-4605M-1LF-10K"
"U1,U2,U3,U4,U5,U6,U7,U8,U11,U12,U13,U14,U15,U16,U17,U18","16","74AHCT08","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS08","771-AHCT08D118"
"U9,U10","2","74HCT688","","","","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS688","771-AHCT08D118"
"U19","1","ATF16V10C","","","","Package_DIP:DIP-20_W7.62mm_Socket","https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-0425-PLD-ATF16V8C-Datasheet.pdf","771-AHCT08D118"
"U20,U28","2","74AHCT374","","","","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS374","771-AHCT3D118"
"U21,U22,U23,U24,U25,U26,U27,U29,U30,U31,U32,U33,U34,U35","14","74HCT283","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS283","595-CD74HCT283M96"
"U36,U37","2","74AHCT245","","","","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS245","771-AHCT245D118"
